window,model,feature,method,importance_norm_mean,importance_norm_std,importance_raw_mean,importance_raw_std,seed_n,rank_in_model
7d,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.04559104641278585,0.0056002719950901374,0.0003518466352640341,0.00011263331164420884,3,7
7d,lstm,region_train_mean,grad_abs_mean,0.0448473629852136,0.004968221182504339,0.00034512774436734617,0.00010332659125732541,3,8
7d,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.0413514773050944,0.0025495174274021053,0.00031719527517755825,8.510710550807474e-05,3,9
7d,lstm,cos_weekofyear,grad_abs_mean,0.04128098115324974,0.005202830936902084,0.00030935271449076634,2.9644352532501325e-05,3,10
7d,lstm,quarter,grad_abs_mean,0.03854835778474808,0.0018987956222280707,0.0002952226883887003,7.545704061230042e-05,3,11
7d,lstm,lag1_share_assault_battery,grad_abs_mean,0.03801825394233068,0.006897675987263501,0.0002845438284566626,3.9737221761290635e-05,3,12
7d,lstm,rolling_mean_4,grad_abs_mean,0.037655364722013474,0.0017959641910512286,0.00028609076980501413,5.5817403799638174e-05,3,13
7d,lstm,rolling_sum_4,grad_abs_mean,0.03613120876252651,0.005375466724844538,0.00026973696852413315,1.865913503597323e-05,3,14
7d,lstm,lag_2,grad_abs_mean,0.03545768310626348,0.003961067657771617,0.0002703748274749766,6.478995716616365e-05,3,15
7d,lstm,lag1_share_theft_larceny,grad_abs_mean,0.034791952619949974,0.008791416858664962,0.0002578877756604925,3.811916879074083e-05,3,16
7d,lstm,ewma_4,grad_abs_mean,0.034295263389746346,0.004735781434699402,0.0002601295758116369,5.5561394216498616e-05,3,17
7d,lstm,neighbor_lag_1,grad_abs_mean,0.03181695379316807,0.005475075694713965,0.00024068606338308504,5.217905354269154e-05,3,18
7d,lstm,sin_weekofyear,grad_abs_mean,0.03013794558743636,0.0003494652865328164,0.0002296464517712593,4.935852111207873e-05,3,19
7d,lstm,month,grad_abs_mean,0.028357285385330517,0.003763213573233032,0.0002195093499418969,7.490942843968523e-05,3,20
7d,lstm,neighbor_ewma_4,grad_abs_mean,0.02740608900785446,0.0002843115448066,0.00020869283859307566,4.3746384634736026e-05,3,21
7d,lstm,neighbor_roll_mean_4,grad_abs_mean,0.027332395936052006,0.0028492294599650014,0.00021032069829137376,6.251019117042074e-05,3,22
7d,lstm,lag_1,grad_abs_mean,0.02726149621109168,0.0012729275741620106,0.00020615619238621244,3.171004390315063e-05,3,23
7d,lstm,weekofyear,grad_abs_mean,0.0270044698069493,0.004691332599668147,0.0002018321150292953,2.4044927061890615e-05,3,24
7d,lstm,region_train_std,grad_abs_mean,0.024707230428854626,0.0017275935549555409,0.00018729944713413715,3.4060494814405754e-05,3,25
7d,lstm,region_seen_in_train,grad_abs_mean,0.0133210231239597,0.0024032149323849907,0.00010062900643485288,2.1134773846954853e-05,3,26
7d,lstm,region_train_count,grad_abs_mean,0.011926365705827871,0.00034470712708832465,9.104498409821342e-05,2.097143116019198e-05,3,27
7d,random_forest,lag_0,split_count,0.05755230411887169,0.00029272885148714167,2529.3333333333335,23.180451534284884,3,1
7d,random_forest,ewma_4,split_count,0.05132165178656578,0.0009633496867067073,2255.3333333333335,30.435724623102654,3,2
7d,random_forest,rolling_mean_4,split_count,0.04706917330622673,0.000768107413244614,2068.6666666666665,41.25934237640413,3,3
7d,random_forest,rolling_sum_4,split_count,0.0466591902077198,0.0006142482158245908,2050.6666666666665,37.42102795666279,3,4
7d,random_forest,lag_4,split_count,0.045461648454268776,0.0017945193218953915,1997.6666666666667,68.39103255057155,3,5
7d,random_forest,lag_1,split_count,0.044840397934118904,0.0005896630708414852,1970.6666666666667,30.038863715748843,3,6
7d,random_forest,self_neighbor_ratio_lag0,split_count,0.04403748487432798,0.002328140834358991,1935.0,92.45539465060976,3,7
7d,random_forest,neighbor_lag_0,split_count,0.043711405247449875,0.00039551014551856986,1921.0,15.524174696260024,3,8
7d,random_forest,lag_2,split_count,0.0433841347694397,0.0001343372255825835,1906.6666666666667,16.07275126832156,3,9
7d,random_forest,cos_weekofyear,split_count,0.04152542849381765,0.0007916240744058907,1825.0,39.0,3,10
7d,random_forest,lag1_share_motor_vehicle_theft,split_count,0.04071622838576635,0.0017380948513098097,1789.6666666666667,86.11813591418087,3,11
7d,random_forest,lag1_share_burglary,split_count,0.040021309008200966,0.001221727505902936,1758.6666666666667,44.52340208624377,3,12
7d,random_forest,lag1_share_drug_narcotics,split_count,0.03955454876025518,0.0004157182032862362,1738.3333333333333,19.139836293274133,3,13
7d,random_forest,lag1_share_robbery,split_count,0.03946837534507116,0.0017194291212502598,1734.6666666666667,79.73915809270456,3,14
7d,random_forest,lag1_share_assault_battery,split_count,0.038098824520905815,0.0007632664908079364,1674.3333333333333,32.083225108042576,3,15
7d,random_forest,neighbor_roll_mean_4,split_count,0.03786845629413923,0.0007019695491410327,1664.3333333333333,38.52704677669099,3,16
7d,random_forest,neighbor_lag_1,split_count,0.03749092544118563,0.0002842996043730071,1647.6666666666667,17.616280348965056,3,17
7d,random_forest,region_train_mean,split_count,0.037298293163379036,0.0009434954134360481,1639.3333333333333,50.36202272877189,3,18
7d,random_forest,lag1_share_theft_larceny,split_count,0.037281014025211334,0.0009860532464356453,1638.3333333333333,38.69539162915052,3,19
7d,random_forest,weekofyear,split_count,0.037042051553726196,0.0004989805762668359,1628.0,30.512292604784715,3,20
7d,random_forest,neighbor_ewma_4,split_count,0.0368991494178772,0.00027503873686109457,1621.6666666666667,18.230011885167063,3,21
7d,random_forest,sin_weekofyear,split_count,0.035547989110151924,0.00045418484880889166,1562.3333333333333,28.30783166074956,3,22
7d,random_forest,region_train_std,split_count,0.03379051759839058,0.0011101378204743286,1485.0,48.12483766206386,3,23
7d,random_forest,month,split_count,0.02844894180695216,0.0005591036517057597,1250.3333333333333,29.53528962670478,3,24
7d,random_forest,quarter,split_count,0.014910558238625526,0.0006047312726614695,655.3333333333334,28.36077102854104,3,25
7d,random_forest,region_seen_in_train,split_count,0.0,0.0,0.0,0.0,3,26
7d,random_forest,region_train_count,split_count,0.0,0.0,0.0,0.0,3,27
