window,seed,model,feature,method,importance_raw,importance_norm
7d,2,baseline_persistence,region_train_std,rule_based,0.0,0.0
7d,2,baseline_persistence,region_train_count,rule_based,0.0,0.0
7d,2,baseline_persistence,region_seen_in_train,rule_based,0.0,0.0
7d,2,logistic_regression,lag_0,coef_abs,2.0223610401153564,0.12397144734859467
7d,2,logistic_regression,lag_1,coef_abs,0.7166845202445984,0.04393301531672478
7d,2,logistic_regression,lag_2,coef_abs,0.267042338848114,0.016369789838790894
7d,2,logistic_regression,lag_4,coef_abs,0.43409213423728943,0.026610001921653748
7d,2,logistic_regression,rolling_mean_4,coef_abs,0.3273790776729584,0.02006845362484455
7d,2,logistic_regression,rolling_sum_4,coef_abs,0.18151572346687317,0.011126978322863579
7d,2,logistic_regression,ewma_4,coef_abs,3.681446075439453,0.22567394375801086
7d,2,logistic_regression,neighbor_lag_0,coef_abs,0.15791171789169312,0.009680043905973434
7d,2,logistic_regression,neighbor_lag_1,coef_abs,0.25305333733558655,0.015512258745729923
7d,2,logistic_regression,neighbor_roll_mean_4,coef_abs,0.6785700917243958,0.041596587747335434
7d,2,logistic_regression,neighbor_ewma_4,coef_abs,0.5974713563919067,0.0366252064704895
7d,2,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.820537805557251,0.050299257040023804
7d,2,logistic_regression,lag1_share_theft_larceny,coef_abs,1.0140101909637451,0.062159184366464615
7d,2,logistic_regression,lag1_share_assault_battery,coef_abs,1.1325469017028809,0.06942552328109741
7d,2,logistic_regression,lag1_share_burglary,coef_abs,0.15895529091358185,0.009744015522301197
7d,2,logistic_regression,lag1_share_robbery,coef_abs,0.23175175487995148,0.014206464402377605
7d,2,logistic_regression,lag1_share_motor_vehicle_theft,coef_abs,0.2987605929374695,0.01831413060426712
7d,2,logistic_regression,lag1_share_drug_narcotics,coef_abs,0.3313124179840088,0.0203095693141222
7d,2,logistic_regression,month,coef_abs,0.5448117256164551,0.03339715301990509
7d,2,logistic_regression,weekofyear,coef_abs,0.3397691547870636,0.020827969536185265
7d,2,logistic_regression,quarter,coef_abs,0.28817105293273926,0.017664987593889236
7d,2,logistic_regression,sin_weekofyear,coef_abs,0.2192603200674057,0.013440735638141632
7d,2,logistic_regression,cos_weekofyear,coef_abs,0.47132790088653564,0.02889256738126278
7d,2,logistic_regression,region_train_mean,coef_abs,0.9762885570526123,0.05984683334827423
7d,2,logistic_regression,region_train_std,coef_abs,0.05281979590654373,0.003237872151657939
7d,2,logistic_regression,region_train_count,coef_abs,0.04450124502182007,0.0027279420755803585
7d,2,logistic_regression,region_seen_in_train,coef_abs,0.0707673579454422,0.004338064230978489
7d,2,random_forest,lag_0,split_count,2554.0,0.05775797739624977
7d,2,random_forest,lag_1,split_count,1987.0,0.0449354350566864
7d,2,random_forest,lag_2,split_count,1925.0,0.0435333214700222
7d,2,random_forest,lag_4,split_count,1919.0,0.04339763522148132
7d,2,random_forest,rolling_mean_4,split_count,2107.0,0.04764920100569725
7d,2,random_forest,rolling_sum_4,split_count,2093.0,0.04733259603381157
7d,2,random_forest,ewma_4,split_count,2221.0,0.05022727698087692
7d,2,random_forest,neighbor_lag_0,split_count,1922.0,0.04346548020839691
7d,2,random_forest,neighbor_lag_1,split_count,1664.0,0.03763088211417198
7d,2,random_forest,neighbor_roll_mean_4,split_count,1702.0,0.03849024325609207
7d,2,random_forest,neighbor_ewma_4,split_count,1638.0,0.037042900919914246
7d,2,random_forest,self_neighbor_ratio_lag0,split_count,1829.0,0.04136231169104576
7d,2,random_forest,lag1_share_theft_larceny,split_count,1615.0,0.0365227609872818
7d,2,random_forest,lag1_share_assault_battery,split_count,1677.0,0.037924874573946
7d,2,random_forest,lag1_share_burglary,split_count,1709.0,0.03864854574203491
7d,2,random_forest,lag1_share_robbery,split_count,1788.0,0.04043510556221008
7d,2,random_forest,lag1_share_motor_vehicle_theft,split_count,1889.0,0.042719192802906036
7d,2,random_forest,lag1_share_drug_narcotics,split_count,1744.0,0.039440058171749115
7d,2,random_forest,month,split_count,1279.0,0.02892421744763851
7d,2,random_forest,weekofyear,split_count,1662.0,0.037585653364658356
7d,2,random_forest,quarter,split_count,676.0,0.015287546440958977
7d,2,random_forest,sin_weekofyear,split_count,1595.0,0.03607046604156494
7d,2,random_forest,cos_weekofyear,split_count,1846.0,0.04174676164984703
7d,2,random_forest,region_train_mean,split_count,1697.0,0.03837716951966286
7d,2,random_forest,region_train_std,split_count,1481.0,0.03349239006638527
7d,2,random_forest,region_train_count,split_count,0.0,0.0
7d,2,random_forest,region_seen_in_train,split_count,0.0,0.0
7d,2,lstm,lag_0,grad_abs_mean,0.00028950755950063467,0.04266960546374321
7d,2,lstm,lag_1,grad_abs_mean,0.0001919883070513606,0.02829655073583126
7d,2,lstm,lag_2,grad_abs_mean,0.00026559276739135385,0.03914488106966019
7d,2,lstm,lag_4,grad_abs_mean,0.00034147626138292253,0.05032910779118538
7d,2,lstm,rolling_mean_4,grad_abs_mean,0.00026905289269052446,0.03965485841035843
7d,2,lstm,rolling_sum_4,grad_abs_mean,0.00027676226454786956,0.040791116654872894
7d,2,lstm,ewma_4,grad_abs_mean,0.00026792220887728035,0.039488207548856735
7d,2,lstm,neighbor_lag_0,grad_abs_mean,0.0003037013520952314,0.04476158320903778
7d,2,lstm,neighbor_lag_1,grad_abs_mean,0.0001838769094320014,0.02710103802382946
7d,2,lstm,neighbor_roll_mean_4,grad_abs_mean,0.00018856390670407563,0.027791839092969894
7d,2,lstm,neighbor_ewma_4,grad_abs_mean,0.00018678652122616768,0.027529876679182053
7d,2,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.0002736413443926722,0.04033113270998001
7d,2,lstm,lag1_share_theft_larceny,grad_abs_mean,0.00022006670769769698,0.03243493661284447
7d,2,lstm,lag1_share_assault_battery,grad_abs_mean,0.00023872371821198612,0.03518473729491234
7d,2,lstm,lag1_share_burglary,grad_abs_mean,0.00038257037522271276,0.056385841220617294
7d,2,lstm,lag1_share_robbery,grad_abs_mean,0.0004544171679299325,0.06697510927915573
7d,2,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.00031094951555132866,0.04582986980676651
7d,2,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.0002843404945451766,0.04190804809331894
7d,2,lstm,month,grad_abs_mean,0.00018479247228242457,0.027235979214310646
7d,2,lstm,weekofyear,grad_abs_mean,0.000217509048525244,0.03205797076225281
7d,2,lstm,quarter,grad_abs_mean,0.0002547460317146033,0.03754621371626854
7d,2,lstm,sin_weekofyear,grad_abs_mean,0.00020311877597123384,0.029937036335468292
7d,2,lstm,cos_weekofyear,grad_abs_mean,0.00031374202808365226,0.04624144732952118
7d,2,lstm,region_train_mean,grad_abs_mean,0.0003123552887700498,0.046037059277296066
7d,2,lstm,region_train_std,grad_abs_mean,0.00018111197277903557,0.026693522930145264
7d,2,lstm,region_train_count,grad_abs_mean,7.866759551689029e-05,0.011594568379223347
7d,2,lstm,region_seen_in_train,grad_abs_mean,0.00010888254473684356,0.016047853976488113
3d,0,baseline_persistence,lag_0,rule_based,1.0,1.0
3d,0,baseline_persistence,lag_1,rule_based,0.0,0.0
3d,0,baseline_persistence,lag_2,rule_based,0.0,0.0
3d,0,baseline_persistence,lag_4,rule_based,0.0,0.0
3d,0,baseline_persistence,rolling_mean_4,rule_based,0.0,0.0
3d,0,baseline_persistence,rolling_sum_4,rule_based,0.0,0.0
3d,0,baseline_persistence,ewma_4,rule_based,0.0,0.0
3d,0,baseline_persistence,neighbor_lag_0,rule_based,0.0,0.0
3d,0,baseline_persistence,neighbor_lag_1,rule_based,0.0,0.0
3d,0,baseline_persistence,neighbor_roll_mean_4,rule_based,0.0,0.0
3d,0,baseline_persistence,neighbor_ewma_4,rule_based,0.0,0.0
3d,0,baseline_persistence,self_neighbor_ratio_lag0,rule_based,0.0,0.0
3d,0,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0
3d,0,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0
3d,0,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0
3d,0,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0
3d,0,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0
3d,0,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0
3d,0,baseline_persistence,month,rule_based,0.0,0.0
3d,0,baseline_persistence,weekofyear,rule_based,0.0,0.0
3d,0,baseline_persistence,quarter,rule_based,0.0,0.0
3d,0,baseline_persistence,sin_weekofyear,rule_based,0.0,0.0
3d,0,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0
