region_id,time_id,lag_0,lag_1,lag_2,lag_4,rolling_mean_4,rolling_sum_4,ewma_4,neighbor_lag_0,neighbor_lag_1,neighbor_roll_mean_4,neighbor_ewma_4,self_neighbor_ratio_lag0,lag1_share_theft_larceny,lag1_share_assault_battery,lag1_share_burglary,lag1_share_robbery,lag1_share_motor_vehicle_theft,lag1_share_drug_narcotics,month,weekofyear,quarter,sin_weekofyear,cos_weekofyear,region_train_mean,region_train_std,region_train_count,region_seen_in_train,y,y_count
IL__CPD_DIST_2,2025-05-29,67,90.0,82.0,71.0,79.25,317.0,81.71868101204741,58.26086956521739,56.47826086956522,55.3804347826087,55.90307104984774,1.15,0.3888888888888889,0.3888888888888889,0.07777777777777778,0.0,0.13333333333333333,0.011111111111111112,5,22,2,0.46472317204376906,-0.8854560256532096,63.15594059405941,14.09345729713128,1212,1,1,78.0
IL__CPD_DIST_2,2025-06-01,78,67.0,90.0,74.0,78.25,313.0,75.83120860722845,57.78260869565217,58.26086956521739,55.83695652173914,56.8461904559956,1.3498871331828444,0.43283582089552236,0.34328358208955223,0.04477611940298507,0.04477611940298507,0.11940298507462686,0.014925373134328358,6,22,2,0.46472317204376906,-0.8854560256532096,63.15594059405941,14.09345729713128,1212,1,1,86.0
IL__CPD_DIST_2,2025-06-04,86,78.0,67.0,82.0,79.25,317.0,76.69872516433708,57.95652173913044,57.78260869565217,57.5108695652174,57.22075775185823,1.4838709677419355,0.358974358974359,0.44871794871794873,0.01282051282051282,0.05128205128205128,0.11538461538461539,0.01282051282051282,6,23,2,0.35460488704253584,-0.9350162426854147,63.15594059405941,14.09345729713128,1212,1,1,79.0
IL__CPD_DIST_2,2025-06-07,79,86.0,78.0,90.0,80.25,321.0,80.41923509860224,57.34782608695652,57.95652173913044,57.61956521739131,57.515063346767114,1.3775587566338134,0.4069767441860465,0.37209302325581395,0.06976744186046512,0.03488372093023256,0.08139534883720931,0.03488372093023256,6,23,2,0.35460488704253584,-0.9350162426854147,63.15594059405941,14.09345729713128,1212,1,1,97.0
IL__CPD_DIST_2,2025-06-10,97,79.0,86.0,67.0,77.5,310.0,79.85154105916135,59.391304347826086,57.34782608695652,57.83695652173914,57.44816844284288,1.6332357247437774,0.4050632911392405,0.4177215189873418,0.06329113924050633,0.012658227848101266,0.06329113924050633,0.0379746835443038,6,24,2,0.23931566428755768,-0.970941817426052,63.15594059405941,14.09345729713128,1212,1,1,88.0
IL__CPD_DIST_2,2025-06-13,88,97.0,79.0,78.0,85.0,340.0,86.71092463549681,57.391304347826086,59.391304347826086,58.11956521739131,58.22542280483616,1.5333333333333334,0.24742268041237114,0.4639175257731959,0.041237113402061855,0.08247422680412371,0.16494845360824742,0.0,6,24,2,0.23931566428755768,-0.970941817426052,63.15594059405941,14.09345729713128,1212,1,1,109.0
IL__CPD_DIST_2,2025-06-16,109,88.0,97.0,86.0,87.5,350.0,87.22655478129809,54.65217391304348,57.391304347826086,58.02173913043479,57.89177542203213,1.994431185361973,0.3181818181818182,0.42045454545454547,0.03409090909090909,0.045454545454545456,0.17045454545454544,0.011363636363636364,6,25,2,0.12053668025532308,-0.992708874098054,63.15594059405941,14.09345729713128,1212,1,0,70.0
IL__CPD_DIST_2,2025-06-19,70,109.0,88.0,79.0,93.25,373.0,95.93593286877885,60.130434782608695,54.65217391304348,57.19565217391305,56.59593481843667,1.1641359363702097,0.3669724770642202,0.3211009174311927,0.045871559633027525,0.05504587155963303,0.2018348623853211,0.009174311926605505,6,25,2,0.12053668025532308,-0.992708874098054,63.15594059405941,14.09345729713128,1212,1,0,70.0
IL__CPD_DIST_2,2025-06-22,70,70.0,109.0,97.0,91.0,364.0,85.56155972126732,60.130434782608695,60.130434782608695,57.89130434782609,58.00973480410548,1.1641359363702097,0.44285714285714284,0.34285714285714286,0.02857142857142857,0.02857142857142857,0.14285714285714285,0.014285714285714285,6,25,2,0.12053668025532308,-0.992708874098054,63.15594059405941,14.09345729713128,1212,1,0,75.0
IL__CPD_DIST_2,2025-06-25,75,70.0,70.0,88.0,84.25,337.0,79.33693583276039,62.869565217391305,60.130434782608695,58.07608695652175,58.85801479550676,1.1929460580912863,0.2857142857142857,0.37142857142857144,0.08571428571428572,0.05714285714285714,0.18571428571428572,0.014285714285714285,6,26,2,-3.216245299353273e-16,-1.0,63.15594059405941,14.09345729713128,1212,1,1,82.0
IL__CPD_DIST_2,2025-06-28,82,75.0,70.0,109.0,81.0,324.0,77.60216149965623,65.1304347826087,62.869565217391305,59.44565217391305,60.46263496426057,1.2590120160213616,0.24,0.44,0.08,0.013333333333333334,0.21333333333333335,0.013333333333333334,6,26,2,-3.216245299353273e-16,-1.0,63.15594059405941,14.09345729713128,1212,1,1,97.0
IL__CPD_DIST_2,2025-07-01,97,82.0,75.0,70.0,74.25,297.0,79.36129689979374,62.78260869565217,65.1304347826087,62.06521739130436,62.329754891599826,1.5450138504155124,0.25609756097560976,0.4268292682926829,0.06097560975609756,0.024390243902439025,0.21951219512195122,0.012195121951219513,7,27,3,-0.12053668025532283,-0.992708874098054,63.15594059405941,14.09345729713128,1212,1,1,77.0
IL__CPD_DIST_2,2025-07-04,77,97.0,82.0,70.0,81.0,324.0,86.41677813987624,61.73913043478261,62.78260869565217,62.72826086956523,62.51089641322076,1.2471830985915493,0.4329896907216495,0.28865979381443296,0.041237113402061855,0.05154639175257732,0.18556701030927836,0.0,7,27,3,-0.12053668025532283,-0.992708874098054,63.15594059405941,14.09345729713128,1212,1,1,77.0
IL__CPD_DIST_2,2025-07-07,77,77.0,97.0,75.0,82.75,331.0,82.65006688392575,55.34782608695652,61.73913043478261,63.1304347826087,62.2021900218455,1.3912018853102905,0.16883116883116883,0.4935064935064935,0.07792207792207792,0.06493506493506493,0.18181818181818182,0.012987012987012988,7,28,3,-0.23931566428755743,-0.9709418174260521,63.15594059405941,14.09345729713128,1212,1,1,99.0
IL__CPD_DIST_2,2025-07-10,99,77.0,77.0,82.0,83.25,333.0,80.39004013035544,62.17391304347826,55.34782608695652,61.25000000000001,59.46044444788991,1.5923076923076924,0.33766233766233766,0.45454545454545453,0.05194805194805195,0.012987012987012988,0.11688311688311688,0.025974025974025976,7,28,3,-0.23931566428755743,-0.9709418174260521,63.15594059405941,14.09345729713128,1212,1,1,83.0
IL__CPD_DIST_2,2025-07-13,83,99.0,77.0,97.0,87.5,350.0,87.83402407821328,61.08695652173913,62.17391304347826,60.5108695652174,60.54583188612525,1.3587188612099643,0.3434343434343434,0.41414141414141414,0.050505050505050504,0.030303030303030304,0.15151515151515152,0.010101010101010102,7,28,3,-0.23931566428755743,-0.9709418174260521,63.15594059405941,14.09345729713128,1212,1,1,86.0
IL__CPD_DIST_2,2025-07-16,86,83.0,99.0,77.0,84.0,336.0,85.90041444692797,62.21739130434783,61.08695652173913,60.08695652173914,60.7622817403708,1.382250174703005,0.3373493975903614,0.3493975903614458,0.024096385542168676,0.0,0.26506024096385544,0.024096385542168676,7,29,3,-0.3546048870425356,-0.9350162426854148,63.15594059405941,14.09345729713128,1212,1,1,82.0
IL__CPD_DIST_2,2025-07-19,82,86.0,83.0,77.0,86.25,345.0,85.94024866815678,62.52173913043478,62.21739130434783,60.206521739130444,61.34432556596161,1.3115438108484005,0.43023255813953487,0.32558139534883723,0.023255813953488372,0.0,0.18604651162790697,0.03488372093023256,7,29,3,-0.3546048870425356,-0.9350162426854148,63.15594059405941,14.09345729713128,1212,1,0,75.0
IL__CPD_DIST_2,2025-07-22,75,82.0,86.0,99.0,87.5,350.0,84.36414920089408,57.95652173913044,62.52173913043478,62.00000000000001,61.81529099175088,1.2940735183795948,0.3048780487804878,0.45121951219512196,0.04878048780487805,0.036585365853658534,0.15853658536585366,0.0,7,30,3,-0.46472317204376806,-0.8854560256532101,63.15594059405941,14.09345729713128,1212,1,0,68.0
