time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
7,chicago_2025,lstm,1,f1,0.6530612244897959,,2025-04,temporal
7,chicago_2025,lstm,1,f1,0.7142857142857143,,2025-05,temporal
7,chicago_2025,lstm,1,f1,0.9111111111111111,,2025-06,temporal
7,chicago_2025,lstm,1,f1,0.8421052631578948,,2025-07,temporal
7,chicago_2025,lstm,1,f1,0.7499999999999999,,2025-08,temporal
7,chicago_2025,lstm,1,f1,0.7222222222222222,,2025-09,temporal
7,chicago_2025,lstm,1,f1,0.5306122448979591,,2025-10,temporal
7,chicago_2025,lstm,1,f1,0.25,,2025-11,temporal
7,chicago_2025,lstm,1,f1,0.4285714285714285,,2025-12,temporal
7,chicago_2025,random_forest,1,f1,0.0,,2024-12,temporal
7,chicago_2025,random_forest,1,f1,0.4444444444444445,,2025-01,temporal
7,chicago_2025,random_forest,1,f1,0.6,,2025-02,temporal
7,chicago_2025,random_forest,1,f1,0.4166666666666667,,2025-03,temporal
7,chicago_2025,random_forest,1,f1,0.7906976744186046,,2025-04,temporal
7,chicago_2025,random_forest,1,f1,0.7796610169491525,,2025-05,temporal
7,chicago_2025,random_forest,1,f1,0.888888888888889,,2025-06,temporal
7,chicago_2025,random_forest,1,f1,0.8767123287671234,,2025-07,temporal
7,chicago_2025,random_forest,1,f1,0.721311475409836,,2025-08,temporal
7,chicago_2025,random_forest,1,f1,0.8125000000000001,,2025-09,temporal
7,chicago_2025,random_forest,1,f1,0.7692307692307693,,2025-10,temporal
7,chicago_2025,random_forest,1,f1,0.5,,2025-11,temporal
7,chicago_2025,random_forest,1,f1,0.6666666666666666,,2025-12,temporal
7,nibrs,baseline_persistence,1,f1,0.9,,2024-01,temporal
7,nibrs,baseline_persistence,1,f1,0.9542483660130718,,2024-02,temporal
7,nibrs,baseline_persistence,1,f1,0.9559748427672956,,2024-03,temporal
7,nibrs,baseline_persistence,1,f1,0.9253731343283583,,2024-04,temporal
7,nibrs,baseline_persistence,1,f1,0.96,,2024-05,temporal
7,nibrs,baseline_persistence,1,f1,0.9673202614379085,,2024-06,temporal
7,nibrs,baseline_persistence,1,f1,0.9533678756476685,,2024-07,temporal
7,nibrs,baseline_persistence,1,f1,0.948051948051948,,2024-08,temporal
7,nibrs,baseline_persistence,1,f1,0.9435897435897437,,2024-09,temporal
7,nibrs,baseline_persistence,1,f1,0.9403973509933775,,2024-10,temporal
7,nibrs,baseline_persistence,1,f1,0.9496402877697843,,2024-11,temporal
7,nibrs,baseline_persistence,1,f1,0.8617886178861789,,2024-12,temporal
7,nibrs,logistic_regression,1,f1,0.4799999999999999,,2024-01,temporal
